treatment	FS	FS	FS	B	B	B	F	F	F	S	B	S	S	FS	FS	FS	B	B	B	F	F	B	F	S	S	S	FS	FS	FS	B	F	F	F	S	S	S
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	10.9943	0	13.3981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.9699	13.4103	0	12.6657
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_bromii	36.0676	37.1195	44.9154	25.4574	14.9838	16.459	21.7626	19.7549	25.6289	25.9782	37.3729	26.7187	21.4863	20.1128	17.6478	24.0507	27.2533	0	31.5577	28.7696	25.4763	45.5198	31.9871	33.3552	29.4557	39.2207	31.5156	26.2274	29.2847	38.0133	45.3958	49.2176	36.3202	29.5459	40.7503	45.0976
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_sp_AF31_8BH	1.62043	0	2.15245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.561759	0.656732	0	0	0	0	0	0	0	0.280956	1.13685	0	0	1.87832	0	0	1.5512
PWY-7238: sucrose biosynthesis II|g__Streptococcus.s__Streptococcus_equinus	1.73127	0	1.57758	0	0	0	0	0	0.721289	7.62191	0	5.41672	9.23621	0	5.14824	8.43635	0	0	1.06599	0	0	0	0	9.44113	8.12509	9.8037	5.57528	2.44189	9.71487	0	0	0	2.06583	0	0	1.12507
PWY-7238: sucrose biosynthesis II|g__Streptococcus.s__Streptococcus_pneumoniae	0	0	2.52004	0	0	0	0	0	2.80352	7.73189	0	13.7431	12.7507	0	12.0854	23.876	0	0	2.81025	0	0	0	0	18.2972	5.72073	20.8051	9.9692	17.0944	16.2946	0	0	0	4.63676	0	0	1.71604
PWY-7238: sucrose biosynthesis II|g__Streptococcus.s__Streptococcus_salivarius	0.648215	0	0	0	0	0	0	0	0.411661	16.0582	0	11.4273	12.7524	8.58549	8.88394	16.1356	0	0	0.608039	0	0	0	0	14.4086	14.0001	18.6758	12.979	14.9991	18.1548	0	0	0	0.761672	0	0	0.62182
PWY-7238: sucrose biosynthesis II|g__Streptococcus.s__Streptococcus_thermophilus	2.07775	0	1.62432	0	0	0	0	0	0	0	0	0.269834	0	0	0	0.672527	0	0	0.422125	0	0	0	0	0	0.273857	0.803526	0	0	0.98823	0	0	0	2.35496	0	0	0.413239
PWY-7238: sucrose biosynthesis II|g__Streptococcus.s__Streptococcus_vestibularis	0.799567	0	0	0	0	0	0	0	0	4.16581	0	0.904747	2.98418	0	1.98959	2.36173	0	0	0	0	0	0	0	4.05372	2.44553	1.69543	0.998612	3.16164	1.73028	0	0	0	0	0	0	0.270997
PWY-7238: sucrose biosynthesis II|unclassified	105.072	136.598	127.257	75.7704	106.942	75.4076	87.9247	92.5667	89.0781	76.8711	82.8493	69.6643	78.6794	76.274	61.3912	82.7821	79.1113	82.0776	65.3558	66.2449	81.9416	86.6979	72.763	60.2902	59.9023	73.4099	94.687	74.2196	79.7343	71.1411	70.578	91.65	78.939	88.9535	44.3302	122.114
PWY-7242: D-fructuronate degradation	43.8015	41.7531	62.734	55.2837	47.5849	67.267	26.2122	47.7154	43.8913	49.6766	53.3431	50.5058	40.2424	32.6811	32.5159	41.2995	52.2846	26.2103	55.6597	39.1926	49.1736	42.0934	38.5692	38.3183	40.8849	41.9574	45.2157	46.7551	45.5073	57.7111	38.0517	41.2254	38.443	35.2194	47.2235	40.7933
PWY-7242: D-fructuronate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	10.7702	0	0	3.74878	3.96261	0	0	0	0	0	6.66915	5.8721	0	2.28001	3.09828	5.29935	0	0	0	2.58124	4.38247	0	7.07235	4.91441	0	0	0	0	0	0	0
PWY-7242: D-fructuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	19.7034	22.3191	21.0033	12.2924	0	7.33645	0	5.63256	8.00545	0	17.5317	11.954	0	0	0	0	9.30802	0	9.1962	0	8.85959	19.9716	0	0	9.11005	9.08244	12.7474	12.9935	10.3178	23.1061	17.0749	22.5119	24.4144	13.9108	0	17.1906
PWY-7242: D-fructuronate degradation|g__Intestinimonas.s__Intestinimonas_butyriciproducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7242: D-fructuronate degradation|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	1.89352	0	0	0	0	0	0	0	0	0	0	0	0	2.21477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7242: D-fructuronate degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7242: D-fructuronate degradation|unclassified	5.91009	0	7.15852	6.07469	6.68423	8.72904	8.12998	14.4938	6.52431	9.95718	0	5.43536	6.69705	10.9139	6.13184	6.53748	2.87183	15.0031	3.74788	3.33508	0	0	9.19236	0	3.96131	2.83965	6.45866	3.81435	5.00666	0	0	0	0	0	0	0
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II"	323.934	302.793	349.158	339.102	272.009	333.511	327.388	325.522	344.069	348.101	322.521	370.278	344.081	286.916	310.517	347.705	348.864	188.089	360.771	344.396	307.407	241.925	293.68	295.192	349.526	344.639	358.96	323.473	380.515	276.192	270.507	265.943	283.536	247.641	291.839	376.861
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis"	19.1575	16.8672	14.5478	15.0278	9.61976	11.1817	11.4083	12.423	7.17387	13.1332	12.681	12.2177	9.17151	9.01156	9.43216	9.34063	14.9631	0	8.96265	8.47509	12.2383	12.4706	9.0768	10.0802	11.7259	10.6909	11.8411	10.5094	10.1127	19.8159	8.34949	14.055	16.6866	15.1013	17.607	17.0955
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_adolescentis"	17.1509	17.7978	17.1129	41.6032	33.0652	48.0555	47.9411	40.4498	52.7314	37.8964	16.7655	51.3286	40.2194	39.6816	43.6134	47.6344	31.9744	42.6136	38.5806	40.296	35.9027	15.7874	46.0988	41.7611	36.3826	35.2683	31.9756	32.5111	36.8163	15.6922	17.1009	16.2434	14.0583	0	17.5242	16.5913
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_bifidum"	0	0	0	17.3915	2.83751	16.8031	21.3626	17.962	20.7899	18.4555	0	17.6822	21.0352	14.5405	18.0198	16.2189	23.9732	0	16.7071	24.5856	22.4206	0	0	17.3081	19.0758	16.6593	17.4059	18.6346	16.0072	0	0	0	0	0	0	0
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_catenulatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07686	0	0	1.4942	0	0	0	0	0	1.04972	0	0	1.02081	0	0	0	0	0	0	0.971323
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_longum"	0	0	0	20.6482	24.8409	25.0821	24.1444	33.3302	27.3599	20.5031	0	24.2461	24.6234	18.23	0	22.0607	20.2748	0	20.2907	28.1258	18.212	0	21.7138	16.0032	16.5343	13.3001	13.6717	17.7455	15.7804	0	0	0	0	0	0	7.20973
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum"	0	0	0	3.49384	4.02025	0	2.17649	3.01306	2.04314	4.89485	0	3.40482	0	0	4.00555	0	3.41142	0	1.3465	0	0	0	3.86413	3.8426	4.45338	5.11838	4.82686	1.01598	6.70071	0	0	1.80613	0	0	0	0
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Blautia.s__Blautia_obeum"	23.0663	22.576	22.5688	9.54414	0	9.61639	0	0	0	11.3694	16.4631	3.51438	11.4294	0	0	0	7.7461	0	9.45078	7.99289	9.33994	0	0	10.5639	5.81019	12.3855	12.6229	8.88346	12.2472	12.1823	22.6801	15.3392	18.9174	8.496	20.3686	21.6045
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Blautia.s__Ruminococcus_torques"	20.1229	0	18.5068	0	0	0	0	0	0	0	0	0	0	0	0	4.49715	8.90084	0	7.48961	0	0	0	3.59653	0	0	6.07941	8.79477	0	0	0	16.2823	0	17.872	8.58583	0	16.4086
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Catenibacterium.s__Catenibacterium_mitsuokai"	11.1508	5.27214	10.2067	23.3784	17.6699	17.9585	23.47	22.1014	24.7044	25.166	12.8436	21.9759	18.7583	17.412	18.9256	23.3317	20.0265	0	20.3838	17.8996	18.6904	8.19783	20.5397	16.9699	21.0069	18.848	18.5545	15.5121	22.068	10.096	0	11.776	0	0	8.69057	12.738
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Dorea.s__Dorea_longicatena"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.35281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.47058
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Escherichia.s__Escherichia_coli"	0	0	0	13.3641	20.1142	35.2545	0	0	9.48157	0	0	8.88766	0	0	8.98088	0	13.6392	0	30.5523	0	10.4854	0	0	0	7.52652	11.6207	8.46435	0	14.0066	0	0	0	0	0	0	0
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78048
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Hungatella.s__Hungatella_hathewayi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Klebsiella.s__Klebsiella_pneumoniae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Lachnoclostridium.s__Clostridium_bolteae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Lactobacillus.s__Lactobacillus_acidophilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4045	0	16.6457	26.4532	13.5552	0	0	0	8.70396	0	0	0	7.92415	0	0	0	0	0	0	0
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Roseburia.s__Roseburia_hominis"	0	0	0	14.846	15.8593	14.4167	17.8833	13.1744	17.4731	21.4725	0	17.1309	13.1554	0	16.5859	15.17	13.4138	0	16.5314	16.6729	11.0744	0	11.7312	12.7641	13.2749	11.0904	16.9892	15.0459	15.7454	0	0	0	0	0	0	4.24915
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|unclassified"	43.5958	40.5536	46.3054	31.1127	29.0025	22.2579	17.4373	24.445	27.5284	26.9628	38.2042	25.6454	31.53	19.3305	19.4389	29.9876	36.8887	22.1369	34.1189	29.4935	33.9577	23.6294	33.2347	27.3608	31.1838	30.5688	29.4137	32.2982	31.8932	38.3097	30.9057	35.8402	38.1558	26.629	38.5846	53.0542
PWY-7254: TCA cycle VII (acetate-producers)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7269: mitochondrial NADPH production (yeast)	0	0	0	0	8.43062	3.28698	0	0	0	7.65504	0	4.81651	0	0	0	5.2972	2.20504	0	2.71884	2.10812	0	0	0	0	3.93628	4.9133	3.27587	0	0	0	0	0	0	0	0	0
PWY-7269: mitochondrial NADPH production (yeast)|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7269: mitochondrial NADPH production (yeast)|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7269: mitochondrial NADPH production (yeast)|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7269: mitochondrial NADPH production (yeast)|unclassified	0	0	0	0	5.06831	3.06644	0	0	0	4.80746	0	4.2627	0	0	0	5.01907	2.11965	0	2.60083	1.91747	0	0	0	0	3.77211	3.73998	3.15393	0	0	0	0	0	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	147	148.114	142.267	146.162	93.9478	107.234	162.877	154.103	142.19	117.849	103.325	147.912	128.628	118.859	148.194	154.764	190.747	90.7935	161.099	114.582	147.349	103.896	176.148	144.115	128.45	160.446	144.226	122.456	186.939	132.378	106.676	133.403	125.262	96.3949	113.509	152.208
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0.800766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	2.71683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12747	0	0	0	0	0	0	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	25.9301	26.6458	24.849	26.0398	0	9.3263	19.6259	20.6978	12.0297	14.2483	13.2063	17.2361	18.167	18.0643	19.4638	13.1507	25.9735	0	13.2514	9.95126	16.3464	0	22.3097	14.6806	14.9144	14.6359	14.1292	17.7978	14.3542	27.1778	23.1465	15.5641	22.1251	19.8184	24.4872	26.5472
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68881	0	0	0	0	0	0	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|g__Catenibacterium.s__Catenibacterium_mitsuokai	14.4847	12.779	11.9692	14.2524	0	2.04962	11.4059	10.2017	8.31231	10.0466	8.08852	9.66209	6.6513	2.58381	12.2321	7.8936	10.5233	0	7.61359	8.58907	4.45303	0	5.59778	3.28888	7.96124	10.3929	6.39128	7.27146	7.08241	5.08171	12.7586	0	13.4458	9.56992	13.228	14.1429
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|g__Escherichia.s__Escherichia_coli	0	0	0	7.35173	0	27.4933	0	0	0	0	0	0	0	0	0	11.6686	14.2233	0	18.7501	10.7429	2.65569	0	0	0	0	8.65691	11.0046	0	11.3744	0	0	0	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|unclassified	0	0	0	0	24.9049	10.9219	0	0	8.19948	0	0	12.846	0	0	18.1419	0	16.3622	30.4911	8.95397	8.15454	17.4376	0	8.76753	0	0	8.82851	13.0736	0	9.9175	0	0	0	0	0	0	0
PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.55191
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	21.0786	15.2241	31.021	27.3952	16.972	77.5349	7.33428	18.9988	17.7634	23.4808	23.3469	17.8612	40.51	27.2956	7.25734	33.3163	25.2174	17.7185	24.7308	18.4761	31.2568	0	15.9085	10.778	12.6549	20.832	33.0793	29.1012	30.1014	0	0	37.7634	0	0	0	26.492
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	8.03545	7.72994	28.7183	0	5.96	8.85031	3.2887	0	3.54279	5.43184	0	6.45696	12.392	12.4389	0	14.811	0	10.7989	0	0	0	0	0	10.2421	7.84409	9.43072	0	0	0	0	0	0	0
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0.719658	0	3.25525	0	0	0	0	0	0	0	0	0	0	0.493606	0	2.47364	0	0	0	0	0	0	0	1.10505	0	1.0295	0	0	0	0	0	0	0
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0.875323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.594422	0	0	0	0	0	0	0	0	0
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3.94684	9.83333	6.83815	0	0	3.86731	0	0	0	0	11.7159	0	0	0	0	2.16786	5.02192	0	0	2.551	2.206	0	0	0	0	0	7.90994	6.92989	6.45664	0	0	10.1842	0	0	0	14.2896
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|unclassified	0	0	8.97568	13.1623	0	9.84258	6.87933	11.3479	0	9.4009	0	6.14277	22.3935	5.24981	0	14.3465	0	15.572	3.52134	2.53568	13.8012	0	13.0141	9.97392	3.14713	3.79641	0	5.3283	3.27721	0	0	0	0	0	0	0
PWY-7316: dTDP-N-acetylviosamine biosynthesis	9.26069	0	0	13.4124	24.843	22.7832	0	15.3423	13.6819	15.9068	0	10.6922	0	0	0	19.7775	13.9591	0	27.5218	0	22.2012	0	0	30.1981	11.8764	12.2459	5.41506	6.70525	6.47656	0	0	0	0	0	0	6.79665
PWY-7316: dTDP-N-acetylviosamine biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0428
PWY-7316: dTDP-N-acetylviosamine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	11.7668	9.90449	20.0221	0	11.9923	11.4887	13.2198	0	8.34845	0	0	0	13.1969	12.2515	0	22.1417	0	17.1064	0	0	0	0	7.79814	4.99484	0	5.40356	0	0	0	0	0	0	0
PWY-7316: dTDP-N-acetylviosamine biosynthesis|unclassified	8.84634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.36595	0	0	0	0	0	0	0	0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	83.3504	87.4757	80.943	91.4259	96.5779	89.3386	55.9907	83.0148	81.2323	96.2638	88.3574	82.1008	92.7672	62.197	94.0365	66.4962	85.0894	28.3435	95.5889	83.3145	79.2895	72.4363	77.6702	53.5222	85.1175	89.4408	85.5075	71.3832	107.664	97.1311	80.4871	89.3789	66.5611	55.9431	59.4555	113.149
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	8.58396	0	18.4294	0	0	0	0	0	0	8.06046	0	0	0	10.7203	0	13.9503	6.31157	7.79171	0	5.6784	0	4.70897	0	0	0	7.70626	0	0	0	0	0	0	0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis|unclassified	0	8.79518	9.97115	11.1532	15.4828	8.30455	0	15.6268	0	0	0	6.62436	14.0774	7.56838	0	9.22807	6.41153	0	3.72123	0	20.0104	0	15.8672	0	9.72119	10.0774	9.01797	0	6.23219	0	0	0	0	0	0	0
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	119.39	98.077	122.825	168.376	247.773	207.529	116.503	144.61	210.569	212.916	117.02	193.746	206.316	192.029	156.538	202.395	204.942	173.868	260.527	213.625	187.784	56.6936	154.459	155.461	186.514	212.927	203.988	207.629	221.383	98.397	62.1604	62.6544	104.685	52.7228	106.835	155.969
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis|g__Blautia.s__Ruminococcus_torques	12.8245	9.7664	7.13761	7.18864	0	7.8771	5.61316	0	7.61905	4.86303	9.97313	8.55602	0	0	7.38942	5.25319	7.04885	0	8.01595	0	2.96619	0	0	0	3.53159	0	4.91757	7.95154	4.14162	0	0	0	8.19328	0	13.9537	8.14589
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	8.11547	11.5451	0	0	0	0	0	0	0	0	0	3.9991	0	12.3541	0	0	0	0	6.81981	0	0	3.93033	0	0	0	0	0	0	0
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis|unclassified	25.1465	25.3324	33.0163	30.9426	21.677	42.3729	20.6735	43.8831	50.8253	37.0384	16.3576	34.8659	30.4824	33.334	12.485	20.5995	32.2075	14.1803	34.3909	24.1673	20.3407	26.3241	31.9914	16.6108	37.2087	46.2127	37.3457	31.3356	32.3513	35.3731	17.694	0	26.239	26.0097	0	28.469
"PWY-7340: 9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7345: superpathway of anaerobic sucrose degradation	185.681	138.722	162.358	209.626	180.793	200.393	170.938	193.148	209.93	172.733	131.721	224.646	193.033	157.697	209.985	237.693	205.178	156.444	197.867	190.493	167.027	154.405	179.786	192.966	226.396	222.447	214.371	201.144	201.849	124.339	58.4102	95.9908	117.011	97.2321	127.549	179.945
PWY-7345: superpathway of anaerobic sucrose degradation|g__Escherichia.s__Escherichia_coli	0	0	0	17.2894	0	20.4812	0	0	18.3357	0	0	0	0	0	0	13.3636	10.7686	0	27.8071	0	12.7901	0	0	0	0	0	0	0	8.26405	0	0	0	0	0	0	0
PWY-7345: superpathway of anaerobic sucrose degradation|unclassified	0	21.9863	0	25.5613	27.8437	23.0692	29.1337	25.4449	20.153	19.1082	0	16.3173	27.0049	13.6361	12.4571	25.9367	21.1515	34.8999	22.0089	6.84886	24.6296	0	12.3821	19.5492	21.3067	21.4869	26.9773	13.7761	22.5516	0	0	0	0	0	0	13.0877
PWY-7356: thiamine diphosphate salvage IV (yeast)	57.4232	64.3874	44.117	88.8715	78.7696	89.2164	76.3465	67.1799	101.478	72.3917	57.7933	108.375	74.5306	106.303	76.635	72.9253	100.384	0	92.011	114.982	70.2447	30.8775	89.2704	118.467	79.1093	75.7253	93.5459	79.3941	99.6987	29.1479	0	78.7282	0	26.5896	58.0313	62.5386
PWY-7356: thiamine diphosphate salvage IV (yeast)|g__Bifidobacterium.s__Bifidobacterium_adolescentis	9.18071	13.6824	10.5865	22.5225	27.9005	28.6957	34.0283	19.5072	33.822	19.7284	16.0462	31.7286	22.5897	36.0894	30.7815	32.4194	20.7517	0	27.407	35.9127	25.5182	0	20.7391	37.9801	28.9128	22.0741	15.5515	28.663	23.4543	0	0	12.7272	0	10.995	13.1901	9.48116
PWY-7356: thiamine diphosphate salvage IV (yeast)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.43807	0	5.19239	0	0	0	0	0	0	0	8.9522	0	3.33953	0	0	0	0	0	0	3.94079
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	249.264	214.979	265.412	224.66	159.723	227.201	230.247	221.904	261.248	240.965	290.95	261.609	225.479	186.015	236.61	234.001	270.245	194.194	259.269	261.235	204.222	212.677	237.513	182.161	246.107	213.204	244.151	230.442	275.369	225.112	200.83	218.624	237.37	209.796	177.943	349.291
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	2.25801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	4.5934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65883	0	0	0	0	0	0	0
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Bacteroides.s__Bacteroides_uniformis	21.281	27.9505	23.0272	13.8005	16.8143	14.7538	18.5578	10.6023	14.7752	15.5533	22.6085	12.537	9.07025	0	0	15.2668	21.8157	0	8.58559	13.3328	7.30292	23.7676	18.0702	7.20482	15.4912	10.6904	9.84908	12.1829	12.2119	12.4651	21.7702	12.6031	36.6153	20.1273	26.5032	23.1218
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22126	0	0	0	0	0	0	0
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Bifidobacterium.s__Bifidobacterium_adolescentis	8.25259	0	10.2928	18.8949	25.3446	27.1835	36.7674	24.0872	33.4659	20.4384	14.5274	34.7334	24.8044	29.7173	33.4907	33.516	18.5915	0	28.8638	33.9715	25.3406	0	19.9808	31.2111	24.4204	22.3458	18.1479	26.0365	20.8327	0	13.2106	0	11.8834	0	10.0471	10.9331
