,Superclass1,Superclass2,pathway,
PWY-7289,Biosynthesis,Amino Acid Biosynthesis,L-cysteine biosynthesis V,
PWY-7290,Biosynthesis,Cell Structure Biosynthesis,Escherichia coli serotype O86 O-antigen biosynthesis,
PWY-7291,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,"oleate &beta;-oxidation (isomerase-dependent, yeast)",
PWY-7292,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,"oleate &beta;-oxidation (thioesterase-dependent, yeast)",
PWY-7294,Degradation/Utilization/Assimilation,Carbohydrate Degradation,xylose degradation IV,
PWY-7295,Degradation/Utilization/Assimilation,Carbohydrate Degradation,L-arabinose degradation IV,
PWY-7297,Biosynthesis,Amine and Polyamine Biosynthesis,octopamine biosynthesis,
PWY-7298,Biosynthesis,Secondary Metabolite Biosynthesis,nevadensin biosynthesis,
PWY-7299,Biosynthesis,Secondary Metabolite Biosynthesis,progesterone biosynthesis,
PWY-7300,Biosynthesis,Secondary Metabolite Biosynthesis,ecdysone and 20-hydroxyecdysone biosynthesis,
PWY-7301,Biosynthesis,Carbohydrate Biosynthesis,dTDP-&beta;-L-noviose biosynthesis,
PWY-7303,Biosynthesis,Aromatic Compound Biosynthesis,3-dimethylallyl-4-hydroxybenzoate biosynthesis,
PWY-7304,Biosynthesis,Secondary Metabolite Biosynthesis,"3-amino-4,7-dihydroxy-coumarin biosynthesis",
PWY-7305,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of steroid hormone biosynthesis,
PWY-7306,Biosynthesis,Secondary Metabolite Biosynthesis,estradiol biosynthesis II,
PWY-7307,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,"oleate &beta;-oxidation (reductase-dependent, yeast)",
PWY-7308,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,acrylonitrile degradation I,
PWY-7309,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,acrylonitrile degradation II,
PWY-7310,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-glucosaminate degradation,
PWY-7312,Biosynthesis,Carbohydrate Biosynthesis,dTDP-D-&beta;-fucofuranose biosynthesis,
PWY-7315,Biosynthesis,Carbohydrate Biosynthesis,dTDP-N-acetylthomosamine biosynthesis,
PWY-7316,Biosynthesis,Carbohydrate Biosynthesis,dTDP-N-acetylviosamine biosynthesis,
PWY-7317,Biosynthesis,Carbohydrate Biosynthesis,superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis,
PWY-7318,Biosynthesis,Carbohydrate Biosynthesis,"dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis",
PWY-7321,Activation/Inactivation/Interconversion,Activation,ecdysteroid metabolism (arthropods),
PWY-7323,Biosynthesis,Carbohydrate Biosynthesis,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,
PWY-7325,Biosynthesis,Secondary Metabolite Biosynthesis,salvigenin biosynthesis,
PWY-7328,Biosynthesis,Carbohydrate Biosynthesis,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,
PWY-7330,Biosynthesis,Carbohydrate Biosynthesis,UDP-N-acetyl-&beta;-L-fucosamine biosynthesis,
PWY-7331,Biosynthesis,Carbohydrate Biosynthesis,UDP-N-acetyl-&beta;-L-quinovosamine biosynthesis,
PWY-7332,Biosynthesis,Carbohydrate Biosynthesis,superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,
PWY-7333,Biosynthesis,Carbohydrate Biosynthesis,UDP-N-acetyl-&alpha;-D-fucosamine biosynthesis,
PWY-7334,Biosynthesis,Carbohydrate Biosynthesis,UDP-N-acetyl-&alpha;-D-quinovosamine biosynthesis,
PWY-7335,Biosynthesis,Carbohydrate Biosynthesis,UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis,
PWY-7336,Biosynthesis,Carbohydrate Biosynthesis,UDP-N-acetyl-&alpha;-D-galactosaminuronate biosynthesis,
PWY-7337,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,10-cis-heptadecenoyl-CoA degradation (yeast),
PWY-7338,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,"10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)",
PWY-7339,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,"10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)",
PWY-7340,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,"9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)",
PWY-7341,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of hyoscyamine and scopolamine biosynthesis,
PWY-7342,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of nicotine biosynthesis,
PWY-7343,Biosynthesis,Carbohydrate Biosynthesis,UDP-glucose biosynthesis,
PWY-7344,Biosynthesis,Carbohydrate Biosynthesis,UDP-D-galactose biosynthesis,
PWY-7345,Degradation/Utilization/Assimilation,Carbohydrate Degradation,superpathway of anaerobic sucrose degradation,
PWY-7346,Biosynthesis,Carbohydrate Biosynthesis,UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose),
PWY-7347,Biosynthesis,Carbohydrate Biosynthesis,sucrose biosynthesis III,
PWY-735,Biosynthesis,Secondary Metabolite Biosynthesis,jasmonic acid biosynthesis,
PWY-7351,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to opines,
PWY-7352,Biosynthesis,Secondary Metabolite Biosynthesis,daunorubicin biosynthesis,
PWY-7354,Biosynthesis,Secondary Metabolite Biosynthesis,aclacinomycin biosynthesis,
PWY-7355,Biosynthesis,Secondary Metabolite Biosynthesis,doxorubicin biosynthesis,
PWY-7356,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiamin salvage IV (yeast),
PWY-7357,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiamin formation from pyrithiamine and oxythiamine (yeast),
PWY-7363,Biosynthesis,Secondary Metabolite Biosynthesis,papaverine biosynthesis,
PWY-7366,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,phosphatidylglycerol degradation,
PWY-7367,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,phosphatidylcholine resynthesis via glycerophosphocholine,
PWY-7369,Activation/Inactivation/Interconversion,Interconversions,thiamin triphosphate metabolism,
PWY-7371,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis","1,4-dihydroxy-6-naphthoate biosynthesis II",
PWY-7372,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",demethylmenaquinol-6 biosynthesis II,
PWY-7373,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of demethylmenaquinol-6 biosynthesis II,
PWY-7374,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis","1,4-dihydroxy-6-naphthoate biosynthesis I",
PWY-7375,Macromolecule Modification,Nucleic Acid Processing,mRNA capping I,
PWY-7376,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis","cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)",
PWY-7377,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis","cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",
PWY-7378,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",aminopropanol phosphate biosynthesis II,
PWY-7379,Macromolecule Modification,Nucleic Acid Processing,mRNA capping II,
PWY-7380,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",biotin biosynthesis from 8-amino-7-oxononanoate II,
PWY-7382,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis","lipoate biosynthesis and incorporation (pyruvate dehydrogenase and oxoglutarate dehydrogenase, yeast)",
PWY-7383,Generation of Precursor Metabolites and Energy,Fermentation,"anaerobic energy metabolism (invertebrates, cytosol)",
PWY-7384,Generation of Precursor Metabolites and Energy,Fermentation,"anaerobic energy metabolism (invertebrates, mitochondrial)",
PWY-7385,Generation of Precursor Metabolites and Energy,Fermentation,"1,3-propanediol biosynthesis (engineered)",
PWY-7387,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,hypotaurine degradation,
PWY-7388,Biosynthesis,Fatty Acid and Lipid Biosynthesis,"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",
PWY-7389,Generation of Precursor Metabolites and Energy,Fermentation,superpathway of anaerobic energy metabolism (invertebrates),
PWY-7391,Biosynthesis,Secondary Metabolite Biosynthesis,isoprene biosynthesis II (engineered),
PWY-7392,Biosynthesis,Secondary Metabolite Biosynthesis,taxadiene biosynthesis (engineered),
PWY-7393,Biosynthesis,Secondary Metabolite Biosynthesis,&beta;-carotene biosynthesis (engineered),
PWY-7394,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,urate degradation to allantoin II,
PWY-7395,Degradation/Utilization/Assimilation,Carbohydrate Degradation,D-galactosamine and N-acetyl-D-galactosamine degradation,
PWY-7396,Generation of Precursor Metabolites and Energy,Fermentation,butanol and isobutanol biosynthesis (engineered),
PWY-7397,Biosynthesis,Secondary Metabolite Biosynthesis,naringenin biosynthesis (engineered),
PWY-7398,Biosynthesis,Secondary Metabolite Biosynthesis,coumarins biosynthesis (engineered),
PWY-7399,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,methylphosphonate degradation II,
PWY-7400,Biosynthesis,Amino Acid Biosynthesis,L-arginine biosynthesis IV (archaebacteria),
PWY-7401,Generation of Precursor Metabolites and Energy,Fermentation,crotonate fermentation (to acetate and cyclohexane carboxylate),
PWY-7402,Generation of Precursor Metabolites and Energy,Fermentation,benzoate fermentation (to acetate and cyclohexane carboxylate),
PWY-7403,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,tetramethylpyrazine degradation,
PWY-7404,Biosynthesis,Fatty Acid and Lipid Biosynthesis,ceramide phosphoethanolamine biosynthesis,
PWY-7405,Biosynthesis,Secondary Metabolite Biosynthesis,aurachin RE biosynthesis,
PWY-7407,Biosynthesis,Secondary Metabolite Biosynthesis,"aurachin A, B, C and D biosynthesis",
PWY-7409,Biosynthesis,Fatty Acid and Lipid Biosynthesis,"phospholipid remodeling (phosphatidylethanolamine, yeast)",
PWY-741,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,p-cymene degradation to p-cumate,
PWY-7410,Biosynthesis,Secondary Metabolite Biosynthesis,ipsdienol biosynthesis,
PWY-7411,Biosynthesis,Fatty Acid and Lipid Biosynthesis,superpathway of phosphatidate biosynthesis (yeast),
PWY-7412,Biosynthesis,Secondary Metabolite Biosynthesis,mycinamicin biosynthesis,
PWY-7413,Biosynthesis,Carbohydrate Biosynthesis,dTDP-6-deoxy-&alpha;-D-allose biosynthesis,
PWY-7414,Biosynthesis,Carbohydrate Biosynthesis,dTDP-&alpha;-D-mycaminose biosynthesis,
PWY-7415,Biosynthesis,Secondary Metabolite Biosynthesis,tylosin biosynthesis,
PWY-7416,Biosynthesis,Fatty Acid and Lipid Biosynthesis,"phospholipid remodeling (phosphatidylcholine, yeast)",
PWY-7417,Biosynthesis,Fatty Acid and Lipid Biosynthesis,"phospholipid remodeling (phosphatidate, yeast)",
PWY-7419,Biosynthesis,Secondary Metabolite Biosynthesis,FR-900098 and FR-33289 antibiotics biosynthesis,
PWY-7420,Biosynthesis,Fatty Acid and Lipid Biosynthesis,monoacylglycerol metabolism (yeast),
PWY-7421,Biosynthesis,Secondary Metabolite Biosynthesis,"narbomycin, pikromycin and novapikromycin biosynthesis",
PWY-7422,Biosynthesis,Secondary Metabolite Biosynthesis,"methymycin, neomethymycin and novamethymycin biosynthesis",
PWY-7423,Biosynthesis,Secondary Metabolite Biosynthesis,bombykol biosynthesis,
PWY-7424,Biosynthesis,Fatty Acid and Lipid Biosynthesis,sterol:steryl ester interconversion (yeast),
PWY-7425,Degradation/Utilization/Assimilation,Chlorinated Compound Degradation,2-chloroacrylate degradation I,
PWY-7426,Biosynthesis,Carbohydrate Biosynthesis,mannosyl-glycoprotein N-acetylglucosaminyltransferases,
PWY-7428,Degradation/Utilization/Assimilation,Chlorinated Compound Degradation,2-chloroacrylate degradation II,
PWY-7429,Detoxification,Arsenate Detoxification,arsenite oxidation II (respiratory),
PWY-743,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,thiocyanate degradation II,
PWY-7430,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,indole degradation to anthranil and anthranilate,
PWY-7431,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,aromatic biogenic amine degradation (bacteria),
PWY-7432,Biosynthesis,Amino Acid Biosynthesis,"L-phenylalanine biosynthesis III (cytosolic, plants)",
PWY-7433,Biosynthesis,Carbohydrate Biosynthesis,mucin core 1 and core 2 O-glycosylation,
PWY-7434,Biosynthesis,Carbohydrate Biosynthesis,terminal O-glycans residues modification,
PWY-7435,Biosynthesis,Carbohydrate Biosynthesis,mucin core 3 and core 4 O-glycosylation,
PWY-7436,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",vitamin E biosynthesis (tocotrienols),
PWY-7437,Biosynthesis,Carbohydrate Biosynthesis,protein O-[N-acetyl]-glucosylation,
PWY-7438,Biosynthesis,Carbohydrate Biosynthesis,superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis,
PWY-7439,Biosynthesis,Carbohydrate Biosynthesis,dTDP-&beta;-L-evernitrose biosynthesis,
PWY-7440,Biosynthesis,Carbohydrate Biosynthesis,dTDP-&beta;-L-4-epi-vancosamine biosynthesis,
PWY-7441,Biosynthesis,Secondary Metabolite Biosynthesis,polymyxin A biosynthesis,
PWY-7442,Biosynthesis,Other Biosynthesis,drosopterin and aurodrosopterin biosynthesis,
PWY-7443,Biosynthesis,Secondary Metabolite Biosynthesis,(4S)-carvone biosynthesis,
PWY-7444,Biosynthesis,Secondary Metabolite Biosynthesis,luteolin triglucuronide biosynthesis,
PWY-7445,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,luteolin triglucuronide degradation,
PWY-7446,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,sulfoglycolysis,
PWY-7447,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,2-aminoethylphosphonate degradation III,
PWY-7448,Biosynthesis,Secondary Metabolite Biosynthesis,galloylated catechin biosynthesis,
PWY-7449,Biosynthesis,Secondary Metabolite Biosynthesis,acylated cyanidin galactoside biosynthesis,
PWY-7450,Biosynthesis,Secondary Metabolite Biosynthesis,anthocyanidin modification (Arabidopsis),
PWY-7452,Biosynthesis,Secondary Metabolite Biosynthesis,cyanidin dimalonylglucoside biosynthesis,
PWY-7455,Biosynthesis,Fatty Acid and Lipid Biosynthesis,allopregnanolone biosynthesis,
PWY-7456,Degradation/Utilization/Assimilation,Carbohydrate Degradation,mannan degradation,
PWY-7457,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfite oxidation V (SoeABC),
PWY-7458,Biosynthesis,Secondary Metabolite Biosynthesis,violdelphin biosynthesis,
PWY-7459,Degradation/Utilization/Assimilation,Carbohydrate Degradation,kojibiose degradation,
PWY-7460,Biosynthesis,Secondary Metabolite Biosynthesis,2-O-acetyl-3-O-trans-coutarate biosynthesis,
PWY-7461,Biosynthesis,Secondary Metabolite Biosynthesis,hydroxycinnamate sugar acid ester biosynthesis,
PWY-7462,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,"3,3'-dithiodipropanoate degradation",
PWY-7463,Biosynthesis,Secondary Metabolite Biosynthesis,N-methylanthraniloyl-&beta;-D-glucopyranose biosynthesis,
PWY-7464,Biosynthesis,Secondary Metabolite Biosynthesis,"cyanidin 3,7-diglucoside polyacylation biosynthesis",
PWY-7465,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,"3,3'-thiodipropanoate degradation",
PWY-7466,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,"acetone degradation III (to propane-1,2-diol)",
PWY-7467,Biosynthesis,Cell Structure Biosynthesis,bactoprenyl-diphospho-acetamido-4-amino-6-deoxygalactopyranose biosynthesis,
PWY-7468,Biosynthesis,Secondary Metabolite Biosynthesis,benzoyl-&beta;-D-glucopyranose biosynthesis,
PWY-7469,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,gentisate degradation II,
PWY-7470,Biosynthesis,Fatty Acid and Lipid Biosynthesis,phosphatidylcholine biosynthesis VII,
PWY-7471,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,D-carnitine degradation I,
PWY-7472,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,D-carnitine degradation II,
PWY-7473,Biosynthesis,Secondary Metabolite Biosynthesis,avenacin A-1 biosynthesis,
PWY-7474,Biosynthesis,Secondary Metabolite Biosynthesis,avenacin A-2 biosynthesis,
PWY-7475,Biosynthesis,Secondary Metabolite Biosynthesis,des-methyl avenacin A-1 biosynthesis,
PWY-7476,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway avenacin A biosynthesis,
PWY-7477,Biosynthesis,Secondary Metabolite Biosynthesis,momilactone A biosynthesis,
PWY-7478,Biosynthesis,Secondary Metabolite Biosynthesis,oryzalexin D and E biosynthesis,
PWY-7480,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,"2,3-dihydroxybenzoate degradation",
PWY-7481,Biosynthesis,Secondary Metabolite Biosynthesis,oryzalide A biosynthesis,
PWY-7482,Biosynthesis,Secondary Metabolite Biosynthesis,cyclooctatin biosynthesis,
PWY-7483,Biosynthesis,Secondary Metabolite Biosynthesis,elloramycin biosynthesis,
PWY-7484,Biosynthesis,Secondary Metabolite Biosynthesis,"phytocassanes biosynthesis, shared reactions",
PWY-7485,Biosynthesis,Secondary Metabolite Biosynthesis,tetracenomycin C biosynthesis,
PWY-7487,Biosynthesis,Secondary Metabolite Biosynthesis,(+)-secoisolariciresinol diglucoside biosynthesis,
PWY-7489,Biosynthesis,Secondary Metabolite Biosynthesis,"oryzalexin A, B, and C biosynthesis",
PWY-7490,Biosynthesis,Secondary Metabolite Biosynthesis,patulin biosynthesis,
PWY-7491,Biosynthesis,Secondary Metabolite Biosynthesis,podophyllotoxin glucosides metabolism,
PWY-7492,Biosynthesis,Secondary Metabolite Biosynthesis,paspaline biosynthesis,
PWY-7493,Biosynthesis,Secondary Metabolite Biosynthesis,paxilline and diprenylpaxilline biosynthesis,
PWY-7494,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,choline degradation IV,
PWY-7495,Biosynthesis,Secondary Metabolite Biosynthesis,gossypetin metabolism,
PWY-7496,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,linuron degradation,
PWY-7497,Biosynthesis,Secondary Metabolite Biosynthesis,3&beta;-hydroxysesquiterpene lactone biosynthesis,
PWY-7498,Biosynthesis,Secondary Metabolite Biosynthesis,phenylpropanoids methylation (ice plant),
PWY-7501,Biosynthesis,Fatty Acid and Lipid Biosynthesis,phosphatidylserine biosynthesis I,
PWY-7506,Biosynthesis,Fatty Acid and Lipid Biosynthesis,phosphatidylserine biosynthesis II,
PWY-7507,Biosynthesis,Secondary Metabolite Biosynthesis,chelerythrine biosynthesis,
PWY-7509,Biosynthesis,Fatty Acid and Lipid Biosynthesis,cardiolipin and phosphatidylethanolamine biosynthesis (Xanthomonas),
PWY-7510,Biosynthesis,Secondary Metabolite Biosynthesis,rhizocticin A and B biosynthesis,
PWY-7511,Macromolecule Modification,Protein Modification,protein ubiquitylation,
PWY-7512,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,"3,5,6-trichloro-2-pyridinol degradation",
PWY-7513,Biosynthesis,Secondary Metabolite Biosynthesis,flaviolin dimer and mompain biosynthesis,
PWY-7514,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-tyrosine degradation IV (to 4-methylphenol),
PWY-7515,Degradation/Utilization/Assimilation,Amino Acid Degradation,trans-3-hydroxy-L-proline degradation,
PWY-7516,Degradation/Utilization/Assimilation,Carboxylate Degradation,L-lyxonate degradation,
PWY-7517,Biosynthesis,Secondary Metabolite Biosynthesis,brassicicene C biosynthesis,
PWY-7518,Biosynthesis,Secondary Metabolite Biosynthesis,atromentin biosynthesis,
PWY-7520,Biosynthesis,Secondary Metabolite Biosynthesis,terrequinone A biosynthesis,
PWY-7521,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,3-(4-sulfophenyl)butanoate degradation,
PWY-7522,Biosynthesis,Secondary Metabolite Biosynthesis,(R)-canadine biosynthesis,
PWY-7523,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-arginine degradation XII,
PWY-7524,Biosynthesis,Secondary Metabolite Biosynthesis,mevalonate pathway III (archaea),
PWY-7525,Biosynthesis,Secondary Metabolite Biosynthesis,fumitremorgin C biosynthesis,
PWY-7526,Biosynthesis,Secondary Metabolite Biosynthesis,fumitremorgin A biosynthesis,
PWY-7527,Biosynthesis,Amino Acid Biosynthesis,L-methionine salvage cycle III,
PWY-7528,Biosynthesis,Amino Acid Biosynthesis,L-methionine salvage cycle I (bacteria and plants),
PWY-7529,Biosynthesis,Carbohydrate Biosynthesis,CMP-N-acetyl-7-O-acetylneuraminate biosynthesis,
PWY-7530,Biosynthesis,Cell Structure Biosynthesis,&beta;-D-galactosaminyl-(1&rarr;3)-N-acetyl-&alpha;-D-galactosamine biosynthesis,
PWY-7531,Biosynthesis,Secondary Metabolite Biosynthesis,mannojirimycin biosynthesis,
PWY-7532,Biosynthesis,Secondary Metabolite Biosynthesis,acetylaszonalenin biosynthesis,
PWY-7533,Biosynthesis,Secondary Metabolite Biosynthesis,gliotoxin biosynthesis,
PWY-7534,Biosynthesis,Secondary Metabolite Biosynthesis,gliotoxin inactivation,
PWY-7535,Biosynthesis,Metabolic Regulator Biosynthesis,lovastatin biosynthesis,
PWY-7536,Biosynthesis,Secondary Metabolite Biosynthesis,2-amino-3-hydroxycyclopent-2-enone biosynthesis,
PWY-7537,Superpathways,Superpathways,superpathway of fumitremorgin biosynthesis,
PWY-7539,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),
PWY-7540,Biosynthesis,Secondary Metabolite Biosynthesis,aflatrem biosynthesis,
PWY-7541,Generation of Precursor Metabolites and Energy,Fermentation,"1,2-propanediol biosynthesis from lactate (engineered)",
PWY-7542,Biosynthesis,Secondary Metabolite Biosynthesis,fumiquinazoline D biosynthesis,
PWY-7543,Biosynthesis,Secondary Metabolite Biosynthesis,5-N-acetylardeemin biosynthesis,
PWY-7544,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,pyruvate to cytochrome bo oxidase electron transfer,
PWY-7545,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,pyruvate to cytochrome bd terminal oxidase electron transfer,
PWY-7546,Biosynthesis,Amino Acid Biosynthesis,diphthamide biosynthesis (eukaryotes),
PWY-7547,Biosynthesis,Secondary Metabolite Biosynthesis,prodigiosin biosynthesis,
PWY-7549,Biosynthesis,Secondary Metabolite Biosynthesis,asperlicin E biosynthesis,
PWY-7550,Biosynthesis,Secondary Metabolite Biosynthesis,ergothioneine biosynthesis II (fungi),
PWY-7552,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",heme biosynthesis III (from siroheme),
PWY-7554,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",heme d1 biosynthesis,
PWY-7555,Biosynthesis,Secondary Metabolite Biosynthesis,&alpha;-cyclopiazonate biosynthesis,
PWY-7556,Biosynthesis,Secondary Metabolite Biosynthesis,(-)-microperfuranone biosynthesis,
PWY-7557,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,dehydrodiconiferyl alcohol degradation,
PWY-7558,Biosynthesis,Secondary Metabolite Biosynthesis,&alpha;-cyclopiazonate detoxification,
PWY-7559,Degradation/Utilization/Assimilation,"Cofactor, Prosthetic Group, Electron Carrier Degradation",glutathione degradation (DUG pathway - yeast),
PWY-7560,Biosynthesis,Secondary Metabolite Biosynthesis,methylerythritol phosphate pathway II,
PWY-7561,Biosynthesis,Secondary Metabolite Biosynthesis,tenellin biosynthesis,
PWY-7562,Degradation/Utilization/Assimilation,Carbohydrate Degradation,"3,6-anhydro-&alpha;-L-galactopyranose degradation",
PWY-7563,Biosynthesis,Secondary Metabolite Biosynthesis,bassianin and desmethylbassianin biosynthesis,
PWY-7564,Biosynthesis,Secondary Metabolite Biosynthesis,bacimethrin and bacimethrin pyrophosphate biosynthesis,
PWY-7565,Biosynthesis,Secondary Metabolite Biosynthesis,aspyridone A biosynthesis,
PWY-7566,Degradation/Utilization/Assimilation,Carboxylate Degradation,L-gulonate degradation,
PWY-7568,Degradation/Utilization/Assimilation,Carbohydrate Degradation,L-galactose degradation,
PWY-7569,Biosynthesis,Secondary Metabolite Biosynthesis,arginomycin biosynthesis,
PWY-7570,Biosynthesis,Secondary Metabolite Biosynthesis,blasticidin S biosynthesis,
PWY-7571,Biosynthesis,Secondary Metabolite Biosynthesis,ferrichrome A biosynthesis,
PWY-7572,Biosynthesis,Secondary Metabolite Biosynthesis,lolitrem B biosynthesis,
PWY-7573,Biosynthesis,Carbohydrate Biosynthesis,GDP-mycosamine biosynthesis,
PWY-7574,Degradation/Utilization/Assimilation,Carboxylate Degradation,propanoyl-CoA degradation II,
PWY-7575,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of candicidin biosynthesis,
PWY-7576,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,nitrogen fixation II (flavodoxin),
PWY-7577,Biosynthesis,Secondary Metabolite Biosynthesis,ferrichrome biosynthesis,
PWY-7578,Biosynthesis,Tetrapyrrole Biosynthesis,phycoviolobilin biosynthesis,
PWY-7579,Biosynthesis,Tetrapyrrole Biosynthesis,phycourobilin biosynthesis,
PWY-7580,Biosynthesis,Tetrapyrrole Biosynthesis,phycoerythrobilin biosynthesis II,
PWY-7581,Degradation/Utilization/Assimilation,Carbohydrate Degradation,N-acetylneuraminate and N-acetylmannosamine degradation II,
PWY-7582,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,mercaptosuccinate degradation,
PWY-7583,Biosynthesis,Fatty Acid and Lipid Biosynthesis,arachidonate biosynthesis II (bacteria),
PWY-7585,Biosynthesis,Fatty Acid and Lipid Biosynthesis,docosahexaenoate biosynthesis II (bacteria),
PWY-7586,Degradation/Utilization/Assimilation,Carbohydrate Degradation,"&beta;-1,4-D-mannosyl-N-acetyl-D-glucosamine degradation",
PWY-7587,Biosynthesis,Fatty Acid and Lipid Biosynthesis,oleate biosynthesis III (cyanobacteria),
PWY-7588,Biosynthesis,Fatty Acid and Lipid Biosynthesis,ursodeoxycholate biosynthesis (bacteria),
PWY-7589,Biosynthesis,Fatty Acid and Lipid Biosynthesis,palmitoleate biosynthesis III (cyanobacteria),
PWY-7590,Biosynthesis,Fatty Acid and Lipid Biosynthesis,"(7Z,10Z,13Z)-hexadecatrienoate biosynthesis",
PWY-7591,Biosynthesis,Secondary Metabolite Biosynthesis,okenone biosynthesis,
PWY-7592,Biosynthesis,Fatty Acid and Lipid Biosynthesis,arachidonate biosynthesis III (metazoa),
PWY-7593,Biosynthesis,Fatty Acid and Lipid Biosynthesis,linoleate biosynthesis III (cyanobacteria),
PWY-7594,Biosynthesis,Fatty Acid and Lipid Biosynthesis,&gamma;-linolenate biosynthesis III (cyanobacteria),
PWY-7595,Biosynthesis,Fatty Acid and Lipid Biosynthesis,stearidonate biosynthesis (cyanobacteria),
PWY-7596,Biosynthesis,Fatty Acid and Lipid Biosynthesis,superpathway of stearidonate biosynthesis (cyanobacteria),
PWY-7598,Biosynthesis,Fatty Acid and Lipid Biosynthesis,&alpha;-linolenate biosynthesis II (cyanobacteria),
