Pathway	ENRIQ_10_S11_L001_Coverage	ENRIQ_11_S12_L001_Coverage	ENRIQ_12_S13_L001_Coverage	ENRIQ_13_S14_L001_Coverage	ENRIQ_14_S15_L001_Coverage	ENRIQ_15_S16_L001_Coverage	ENRIQ_16_S17_L001_Coverage	ENRIQ_17_S18_L001_Coverage	ENRIQ_18_S19_L001_Coverage	ENRIQ_19_S20_L001_Coverage	ENRIQ_1_S2_L001_Coverage	ENRIQ_20_S21_L001_Coverage	ENRIQ_21_S22_L001_Coverage	ENRIQ_22_S23_L001_Coverage	ENRIQ_23_S24_L001_Coverage	ENRIQ_24_S25_L001_Coverage	ENRIQ_25_S26_L001_Coverage	ENRIQ_26_S27_L001_Coverage	ENRIQ_27_S28_L001_Coverage	ENRIQ_28_S29_L001_Coverage	ENRIQ_29_S30_L001_Coverage	ENRIQ_2_S3_L001_Coverage	ENRIQ_30_S31_L001_Coverage	ENRIQ_31_S32_L001_Coverage	ENRIQ_32_S33_L001_Coverage	ENRIQ_33_S34_L001_Coverage	ENRIQ_34_S35_L001_Coverage	ENRIQ_35_S36_L001_Coverage	ENRIQ_36_S37_L001_Coverage	ENRIQ_37_S38_L001_Coverage	ENRIQ_38_S39_L001_Coverage	ENRIQ_39_S40_L001_Coverage	ENRIQ_3_S4_L001_Coverage	ENRIQ_40_S41_L001_Coverage	ENRIQ_41_S42_L001_Coverage	ENRIQ_42_S43_L001_Coverage	ENRIQ_43_S44_L001_Coverage	ENRIQ_44_S45_L001_Coverage	ENRIQ_45_S46_L001_Coverage	ENRIQ_46_S47_L001_Coverage	ENRIQ_47_S48_L001_Coverage	ENRIQ_48_S49_L001_Coverage	ENRIQ_49_S50_L001_Coverage	ENRIQ_4_S5_L001_Coverage	ENRIQ_50_S51_L001_Coverage	ENRIQ_51_S52_L001_Coverage	ENRIQ_52_S53_L001_Coverage	ENRIQ_53_S54_L001_Coverage	ENRIQ_54_S55_L001_Coverage	ENRIQ_55_S56_L001_Coverage	ENRIQ_56_S57_L001_Coverage	ENRIQ_57_S58_L001_Coverage	ENRIQ_58_S59_L001_Coverage	ENRIQ_59_S60_L001_Coverage	ENRIQ_5_S6_L001_Coverage	ENRIQ_60_S61_L001_Coverage	ENRIQ_61_S62_L001_Coverage	ENRIQ_62_S63_L001_Coverage	ENRIQ_6_S7_L001_Coverage	ENRIQ_7_S8_L001_Coverage	ENRIQ_8_S9_L001_Coverage	ENRIQ_9_S10_L001_Coverage
PWY-5941: glycogen degradation II	17720.7	16166.9	17940.3	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17271	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13240.2	11022.7	11940.9	11772.7	21331.7	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13447.4	13129	20130.4	17220.6	17570.5	16512.1	11167.3	12845.7	12915.1	17647.8	18915	17252.5	13331.5	19077.8	12659.7	11926.3	18145.2	17087.3	16651.3	14823	12587.2	12218	17929.1	18288.3	18379	15305.8	18548.5	18972	18310.5	23316.7	21359.5	16561.7
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5972: stearate biosynthesis I (animals)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis	0	0	0	9466.84	542.912	719.93	0.00405932	3167.78	442.832	1260.72	0	0.145401	1.09E-06	2.63E-05	0	0.00121241	8092.07	1510.29	0.00500541	0.000277029	468.849	33.3469	0.000101618	0.00555469	1857.77	15.4946	478.686	0.03517	0.000105749	0.102641	9.84E-05	0	3.17369	0	0.00168677	0	0	0	2.78206	0	0	1.73E-05	0	0	0	0.0391015	11862.1	15931.8	0	0	0	0	447.044	0	0.0323794	0.395396	9.83E-05	3.03E-05	0.58996	2.37218	0.000139707	0
PWY-5981: CDP-diacylglycerol biosynthesis III	0	0	0	0	0	0	0	0	0	0.00225712	0	0	3.27E-06	0	0.00011786	0	0	16.7927	0	0	0	0	0	0.000551179	0	0	0	1.82273	0.0030496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)	0	0	0	0.204629	0.0653264	844.055	0.000178144	3521.97	501.649	0.0267269	0	0.138759	1.09E-06	3.10E-05	0	0.00145441	2254.85	53.7862	0.00600737	0	478.388	0	0.000122946	0	0	0	0	0	1.01E-06	0.123167	0.000117329	0	0	0	0.00202588	0	1.12E-06	0	3.3382	0	0	2.07E-05	0	0	0	0.0469227	12588.6	16113.4	0	0	0	0	533.791	0	0	0.474472	0	0	0	0	0	0
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6071: superpathway of phenylethylamine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	17721.3	18567.6	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17270.8	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13077.1	11022.7	11940.9	11772.7	21339.6	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	8212.8	13129	21729.2	17220.4	16039.8	16507	11167.3	12845.7	12915.1	15490.3	106.617	17247.8	13331.4	19026.2	12659.7	11926.3	8011.36	17043.1	16625.2	14823	12587.2	12218	16812.4	7607.58	18395.2	15828.7	18528	20180.4	20953.7	23074.2	22499.2	16561.8
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	17721.3	19153.4	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13106.4	11022.7	11940.9	11772.7	21340.4	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13485.1	13129	21705.4	17220.6	17570.5	16512.1	11167.3	12845.7	12915.1	17707.9	18915.7	17252.5	13331.5	19016.8	12659.7	11926.3	18145.8	17087.3	16651.3	14823	12587.2	12218	17929.1	18288.3	18395.2	15829.3	18543.7	20185	20953.7	23314	22513.4	16561.8
PWY-6123: inosine-5'-phosphate biosynthesis I	16253.6	19164.1	18354.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17296	11130.1	10902.9	11939.2	11905	12099.9	11218.5	12703	11022.7	11940.9	11772.7	20843.9	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	7388.2	12988.5	6777.17	0	0	0	11167.3	12845.6	12908.4	0	0	0	9263.8	13498.2	12463.3	11919.3	0	0	0	153.921	12100.6	12215.2	0	1.10E-05	8651.4	50.7443	18464.1	19191.1	19005.5	19332.5	21325.4	16559.6
PWY-6124: inosine-5'-phosphate biosynthesis II	15988.8	19163.7	18354.2	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17295.4	11130.1	10902.9	11939.2	11905	12099.9	11218.5	12944.6	11022.7	11940.9	11772.7	20747.3	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	6841.12	12960.8	5968	0	0	0	11167.3	12845.5	12909.4	0	0	0	12829.7	12751.3	12424.7	11917.9	0	0	0	95.3947	12007.7	12215.6	0	0	7822.68	43.8852	18447.2	19003.9	18658.6	18691.4	21099.7	16559.2
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0	0	0	0	0	0	4.45E-05	0	0	128.104	0	9.27731	7742.5	2878.89	60.3119	131.338	0	5.43E-05	0	0	0	0	4.75207	1229.83	270.386	7094.62	0	749.474	2943.14	0	0	0	0	0	0	0	1.12E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08E-05	0	0	0	0	0	0	0	1.40E-05	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0	0	0	0	0	0	6.68E-05	0	0	191.023	0	13.9102	8570.63	3853.71	90.2393	195.944	0	8.08E-05	0	0	0	0	7.12676	1761.43	400.603	7859.48	0	1087.16	3851.89	0	0	0	0	0	0	0	1.12E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05E-05	0	0	0	0	0	0	0	2.33E-05	0	0
PWY-6143: CMP-pseudaminate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0	0	0	0	0	0	0	0	0	1.08E-06	0	0	0.0162694	2.51E-05	0	0	2.26012	2.65E-06	0	0	13.4412	0	0.191281	0	0.0681155	0.165326	0	0	0	0	1.35E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.22E-05	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine salvage I	17721.3	19165.9	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	12542.4	11022.7	11940.9	11772.7	21340.4	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13486.1	13129	21825	2307.74	16590.1	16311.8	11167.3	12845.7	12915.1	3039.72	1446.09	1242.66	13331.5	19089.4	12659.7	11926.3	1043.9	12653.3	0.76375	14807.1	12587.2	12218	17714.5	1266.78	18395.3	15828	18548.4	20185.1	20953.7	23334.7	22533.3	16561.8
PWY-6160: 3-dehydroquinate biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	17721.3	18566	18355.4	12074.6	12246.2	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	12751.1	11022.7	11940.9	11772.7	21312.6	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13429.1	13129	21824.8	0	44.53	652.715	11167.3	12845.7	12910.2	0	0.0127189	0.0796547	13260.4	19089.4	12605.5	11926.3	0.000838338	0.0154794	0	0.158673	12587.2	12218	0.0264724	2053.92	18311	10454.5	18544.9	20179.1	20941.7	23328.9	21970.2	16561.8
PWY-6165: chorismate biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6168: flavin biosynthesis III (fungi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6210: 2-aminophenol degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)	0	0	0	0	0	0	0	0	0	4366.52	0	2.23E-06	0.000131926	0	0.0496547	0.392048	0	0.304201	0	0	0	0	0.0490816	200.604	0.000329744	3511.52	0.0213184	104.783	9954.07	11.0608	1.35E-06	9.32E-05	0	0	0	0	1.85285	0	6.80238	0	0	0	0	0	0	0	0	0	0	0.0426548	0	0	0	0	0	3.17E-06	0	0	0	0	0	0
PWY-622: starch biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.48E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6270: isoprene biosynthesis I	0	0	0	0	0	0	0	2040.16	0	9646.41	0	0.409281	9543.76	37.3757	0.826975	0	0	0	0	0	0	0	0	3.90E-06	171.151	2294.47	8886.93	5165.39	8257.18	0	3.91E-05	0	0	0	0	0	0.00286776	0	2210.04	0	0	0	0	0	0	0.0107897	0	0	0	0	0	2.08E-05	0	0	0	5.67282	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	17721.3	19153.4	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13106.4	11022.7	11940.9	11772.7	21340.4	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13485.1	13129	21705.4	17220.6	17570.5	16512.1	11167.3	12845.7	12915.1	17707.9	18915.7	17252.5	13331.5	19016.8	12659.7	11926.3	18145.8	17087.3	16651.3	14823	12587.2	12218	17929.1	18288.3	18395.2	15829.3	18543.7	20185	20953.7	23314	22513.4	16561.8
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0	0	0	0.204627	0.0653251	840.895	0.000176834	3489.92	493.621	0.0267269	0	0.129895	1.09E-06	3.10E-05	0	0.00145441	2230.79	53.5339	0.00600737	0	456.631	0	0.000122946	0	0	0	0	0	1.01E-06	0.123167	0.000117329	0	0	0	0.00202588	0	1.12E-06	0	3.33816	0	0	2.07E-05	0	0	0	0.0469227	12588.6	16113.4	0	0	0	0	533.791	0	0	0.474472	0	0	0	0	0	0
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6305: superpathway of putrescine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000378782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6317: D-galactose degradation I (Leloir pathway)	17288.5	14982.2	17739.7	12074.6	11836	12001.6	13084.8	12774.5	11628	10799.6	17257	11130.1	10902.9	11939.2	11749.2	12099.9	11218.5	9732.35	11022.7	11940.9	11772.7	16000.1	12380.7	12816.4	10882.6	10019.9	10805.6	10994.4	10071.3	11090	2685.19	11153.3	18784.7	0.0184605	1057.88	627.088	11167.3	12845.7	878.148	0.0239712	0.982709	1.01225	5426.03	18778.1	12648.9	11904.3	153.021	902.477	0.00709511	184.51	10812.9	11862.3	1028.89	12340.7	18164.2	10771.5	18383.3	17580.4	16673.6	21144.5	9848.88	16561.7
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6328: L-lysine degradation X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6353: purine nucleotides degradation II (aerobic)	0	0	0	0	1271.85	0	0	0	0	0	0	0	0	5608.58	0	0	0	11.3014	0	0	5428.29	0	0	0	0	0	0	0	0	0	2.70E-06	0	0	14619.4	127.82	13609.7	0	0	0	14886.5	3.73994	11057.9	0	0	0	0	5.10617	0.000934676	16.7245	0.00244432	0	0	15587.7	10545.4	0	3.17E-06	0	0	0	0	0	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	17721.2	19128.9	18355.4	12074.6	12246.8	12008.1	13098.8	12778.7	11628	10799.6	17297.6	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13213.7	11022.7	11940.9	11772.7	19978.5	12545.5	12995.3	10882.6	10019.9	10805.6	10994.4	10071.3	11090	10569	13129	19175.5	11908.3	8481.17	15386.2	11167.3	12845.7	12915.1	2609.28	635.823	1058.64	13331.2	18453.8	12659.7	11926.3	8298.67	12.7915	5404.71	14822.2	12587.2	12218	7714.36	685.811	17005.2	12857.4	16996.4	14218.2	5970.81	19791	20506	16561.8
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	17721.3	19145.9	18355.4	12074.6	12244.9	12008.1	13098.8	12778.7	11628	10799.6	17299	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13206.9	11022.7	11940.9	11772.7	21203.2	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	1546.15	13129	21791.4	0.0189581	6519.32	16004.6	11167.3	12845.7	12915.1	2870.16	715.612	1071.57	13331.2	18476	12659.7	11926.3	10135	12.282	0	14820.6	12587.2	12218	104.655	413.895	17296.4	13049.5	18546.2	18430.9	20953.4	20249.3	22312.2	16561.8
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	17721.3	19142.3	18355.4	12074.6	12246.7	12008.1	13098.8	12778.7	11628	10799.6	17299	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13206.1	11022.7	11940.9	11772.7	20997.2	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	10348.9	13129	21786.8	11142.4	7627.12	16471.8	11167.3	12845.7	12915.1	3967.64	834.099	3969.32	13331.1	18970.7	12659.7	11926.3	12678.1	6895.06	9669.12	14823	12587.2	12218	9433.08	552.818	17092.2	15669.5	18545.2	18110.3	20952.8	21552.6	22127.5	16561.8
"PWY-6396: superpathway of 2,3-butanediol biosynthesis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0	0	0	0.049502	0.00696361	0	0	0.0157178	0.00196165	0.000177114	0	0.0302905	1.09E-06	3.70E-05	0	0.00177747	1.12E-05	6.62E-06	0	0	12.1599	0	0.0001104	0	0	0	0	0	0	0	0.000144301	0	0	0	0	0	1.12E-06	0	0	0	0	2.42E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6527: stachyose degradation	5.67E-05	0	0.00122064	12074.6	5268.13	11283	8665.96	12586.7	11628	10799.6	0.0307179	11130.1	10902.8	11870.4	11696.6	12092.5	11218.3	10322.8	11022.7	11879.2	2959.32	0.0240208	11530.6	8253.51	10881	10019.9	10805.6	10994.4	10071.3	6875.21	3636.89	3.94E-06	0.00271721	0	0.0168238	0	11167.3	0	890.61	0.0359559	1.47402	0.00112659	0	0.0243753	91.112	0.000436501	0	0	0	0.000953122	0.0146766	0	0	4.9525	75.3545	0	0.0299937	153.638	0	3.304	0.399323	0.216048
PWY-6531: mannitol cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292654	0	0	0	0	0	0	0	0	0	0	0	0	0.739425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.17E-06	0	0	0	0	0	0
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6549: L-glutamine biosynthesis III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6572: chondroitin sulfate degradation I (bacterial)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6588: pyruvate fermentation to acetone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6606: guanosine nucleotides degradation II	0	0	0	0	495.478	0	0	0	0	0	0	0	0	3785.02	0	0	0	4.11267	0	0	3594.1	0	0	0	0	0	0	0	0	0	1.35E-06	0	0	17220.6	46.696	10408.2	0	0	0	17707.8	1.38707	6798.83	0	0	0	0	1.85715	0.000340038	16651.2	0.000889383	0	0	17561	18288.3	0	1.58E-06	0	0	0	0	0	0
PWY-6607: guanosine nucleotides degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6608: guanosine nucleotides degradation III	0	0	0	90.8099	11956.8	9378.71	0.0992378	10.9246	295.027	1.02371	0	0	0.000828624	7907.65	0	0	8751.83	7309.97	11022.7	0	6551.55	0	1.44846	71.7859	2.18E-06	0	624.454	15.8608	0	10322.6	13428.5	10425.5	0	17220.6	17568.6	16512.1	0	12845.7	7763.02	17707.8	104.567	17252.5	13003.3	0	12415.4	10755.1	18145.7	17087.3	16651.2	6533.18	12571.7	12217.9	17561	18288.3	0	15830.5	0	0	0	0	0	0
PWY-6609: adenine and adenosine salvage III	17720.6	17689.8	18355.4	12074.6	12234.6	12008	13098.1	12509.9	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	11931.6	11022.7	11940.9	11772.7	21334.4	12542.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13399.9	9452.32	21811.3	17218.9	17567.6	16512.1	11167.3	12845.7	6472.1	17156.1	69.7225	17252.5	12845.2	19089.2	12296.7	10251.8	2797.21	17081.4	292.221	5105.54	12564	12217.9	15828.6	18222.4	18394.5	10755.6	18499.2	20031.2	20936.6	23334.5	21526.3	16561.8
PWY-6612: superpathway of tetrahydrofolate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6628: superpathway of L-phenylalanine biosynthesis	0	0	0	0	16.017	73.368	637.094	2.82713	230.409	20.8868	0	9421.36	8406.38	26.5428	0.163211	0.000310967	86.5605	11234.7	1.87E-05	0.641452	125.952	0	0.308912	546.501	692.48	10010.6	0.000376036	1001.07	37.5011	3.44463	0.0157989	44.96	0	0	0	0	9039.49	0	24.9819	0	0	0	1420.7	0	0	0.00756126	0	0	0	0	5073.61	0.00319744	0	0	0	0	0	0	0	0	0	0
PWY-6630: superpathway of L-tyrosine biosynthesis	0	0	0	0	0	0	0	0	0	7.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-06	0	1.10E-06	0	0	0.00399862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
